User Screen Name,Formatted Tweet,Time Created,
kylejames1875,    scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:28 GMT 2014,
GrahamIvers,   i'm not going blame referee because scotland were better us  but he made some very strange decisions tonight  scoirl  irevsco,Fri Nov 14 21:39:28 GMT 2014,
fern_catherine,   ach  good game  scoirl,Fri Nov 14 21:39:28 GMT 2014,
Justinorin11,    scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:28 GMT 2014,
ryazo,    laticsofficial  internationals  full time  scottishfa 1  faireland 0 shaun maloney's fantastic goal settles   scoirl  wafc,Fri Nov 14 21:39:28 GMT 2014,
FinlayD,    scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:28 GMT 2014,
IMcCallum,    scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:28 GMT 2014,
dylanbarron1,    scottishfa  full time   scotland 1 0  faireland   maloney's goal seals majestic victory   scoirl  wearescotland  euroqualifiers,Fri Nov 14 21:39:27 GMT 2014,
daHawkeyeCaller,   crap  ft scotland 1 ireland 0  guinness rescue   scoirl,Fri Nov 14 21:39:27 GMT 2014,
SPORT1_nl,   afgelopen  schotland klopt ierland met 1 0  duitsland pakt gibraltar met 4 0  sport1  scoirl  duigib,Fri Nov 14 21:39:27 GMT 2014,
Wright13Andrew,   yaaaassssss      c'mon scotland       scoirl  euro2016,Fri Nov 14 21:39:27 GMT 2014,
Documental38,   oh thank fuck  heart my mouth end  scoirl,Fri Nov 14 21:39:27 GMT 2014,
JtotheORD4N,   yaaaaaaaaaaaaaaaaaas  scoirl,Fri Nov 14 21:39:27 GMT 2014,
edinspotlight,   yeeeeeessssssssss scotland      scoirl,Fri Nov 14 21:39:27 GMT 2014,
DarrenMul,   if ireland started every game 1 0 down they'd class   scoirl,Fri Nov 14 21:39:27 GMT 2014,
