User Screen Name,Tweet,Time Created,
DoleenDoleen,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
VizualDze,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
SCWilkes95,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
Incy_43,Good game that.#SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
SandraM1977,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
schreibrephorm,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
MaxZ0r1n,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:28 GMT 2014,
kylejames1875,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
GrahamIvers,I'm not going to blame the referee because Scotland were better the us  but he made some very strange decisions tonight #SCOIRL #IREvSCO,Fri Nov 14 21:39:28 GMT 2014,
fern_catherine,Ach  that was a good game #SCOIRL,Fri Nov 14 21:39:28 GMT 2014,
Justinorin11,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
ryazo,RT @LaticsOfficial: INTERNATIONALS: Full time @ScottishFA 1 @FAIreland 0 Shaun Maloney's fantastic goal settles it! #SCOIRL #wafc,Fri Nov 14 21:39:28 GMT 2014,
FinlayD,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
IMcCallum,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
dylanbarron1,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
daHawkeyeCaller,Crap  FT Scotland 1 Ireland 0. Guinness to the rescue! #scoIRL,Fri Nov 14 21:39:27 GMT 2014,
SPORT1_nl,Afgelopen! Schotland klopt Ierland met 1-0  Duitsland pakt Gibraltar met 4-0 #sport1 #scoirl #duigib,Fri Nov 14 21:39:27 GMT 2014,
Wright13Andrew,YAAAASSSSSS !!!! C'MON SCOTLAND !!!! #SCOIRL #Euro2016,Fri Nov 14 21:39:27 GMT 2014,
Documental38,oh thank fuck for that  heart was in my mouth at the end #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
JtotheORD4N,Yaaaaaaaaaaaaaaaaaas #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
edinspotlight,Yeeeeeessssssssss Scotland???? #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
DarrenMul,If Ireland started every game 1-0 down they'd be class. #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
MarkChristie97,RT @STVSport: FT Scotland 1-0 Republic of Ireland  http://t.co/TgDjsjZ6UY #SCOIRL http://t.co/GUg5HSCKCI,Fri Nov 14 21:39:27 GMT 2014,
GarethSBrown,And relax.... #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
5Townsley_DM,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
dirtywickr,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
mylessmith33,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
Tweet_Afton,Well done #Scotland. . . Just as well Wee Shaun Maloney didn't declare for Malaysia. . . #SCOIRL . #scotlandvireland,Fri Nov 14 21:39:26 GMT 2014,
CraigCarswell,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:26 GMT 2014,
Andy9498Lewis,RT @ScottishFA: This. #SCOIRL #WeAreScotland http://t.co/zTcHEvtapj,Fri Nov 14 21:39:26 GMT 2014,
ShonaDuthie4,RT @VauxhallScot: IT GOES! Three points! Get in! A massive victory for #Scotland. How pleased were you with the performance? #SCOIRL,Fri Nov 14 21:39:26 GMT 2014,
BrodyBrown786,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:26 GMT 2014,
theginger_ninja,RT @RobbieH46: They have 3 points  but we have independence. #SCOIRL,Fri Nov 14 21:39:26 GMT 2014,
nelbo009,Thank fuck for that! Oh Scotland  you do like to give me heart attacks... Vital win  absolutely delighted! #SCOIRL,Fri Nov 14 21:39:25 GMT 2014,
sportscoachjojo,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:25 GMT 2014,
nvguidi,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:25 GMT 2014,
Ctully96,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:25 GMT 2014,
ghcasey,RT @STVSport: FT Scotland 1-0 Republic of Ireland  http://t.co/TgDjsjZ6UY #SCOIRL http://t.co/GUg5HSCKCI,Fri Nov 14 21:39:25 GMT 2014,
S_JDrummond,Whoop whoop! No nails left! #SCOIRL #WeAreScotland,Fri Nov 14 21:39:25 GMT 2014,
bleu_cafe,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:25 GMT 2014,
TalkingaboutF1,Bring me lucky generals  as Napoleon used to say. #Strachan #SCOIRL,Fri Nov 14 21:39:24 GMT 2014,
tynecastle1874,RT @VauxhallScot: IT GOES! Three points! Get in! A massive victory for #Scotland. How pleased were you with the performance? #SCOIRL,Fri Nov 14 21:39:24 GMT 2014,
JonathanBhoyle,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:24 GMT 2014,
siobhanhunter77,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:24 GMT 2014,
Andrew_Hepburn1,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:24 GMT 2014,
uG_RecTo,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:24 GMT 2014,
julia_jh,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:23 GMT 2014,
irishcrushx,Koniec! I Szkocja wygra?a 1:0...szkoda. #Euro2016Qualifiers #SCOIRL #BoysInGreen,Fri Nov 14 21:39:23 GMT 2014,
jolove6,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:23 GMT 2014,
PeterBaird1997,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:23 GMT 2014,
spoon2023,Delighted with that! #SCOIRL #3points,Fri Nov 14 21:39:23 GMT 2014,
nodrogmas,RT @VonnyR7: Balls to that Ireland .. Balls.To.That.. #SCOIRL http://t.co/PSDrhlve1S,Fri Nov 14 21:39:23 GMT 2014,
Clyde1998,*Breath out* FT - Scotland 1-0 Ireland. BRING ON ENGLAND! #SCOIRL.,Fri Nov 14 21:39:23 GMT 2014,
lenduff1,Outstanding work rate #SCOIRL,Fri Nov 14 21:39:22 GMT 2014,
schreibrephorm,RT @TartanArmy: FT: Scotland 1-0 Ireland #TartanArmy #SCOIRL,Fri Nov 14 21:39:22 GMT 2014,
JordWildey,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:22 GMT 2014,
ScottHislop_3,RT @BeanBagSports: Shaun #Maloney puts Scotland ahead against Ireland #SCOIRL https://t.co/X0EWIJoQpS,Fri Nov 14 21:39:22 GMT 2014,
9jareigns,Scotland take the 3 points  what a game!!! #SCOIRL,Fri Nov 14 21:39:22 GMT 2014,
Journo_Steve,YESSSS!!!!!! #SCOIRL,Fri Nov 14 21:39:21 GMT 2014,
Gallacticos87,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:21 GMT 2014,
OlivurTwist,Team = fantastic . Majority of fans = embarrassing . . #SCOIRL,Fri Nov 14 21:39:21 GMT 2014,
CappielowPark,RT @ScottishFA: This. #SCOIRL #WeAreScotland http://t.co/zTcHEvtapj,Fri Nov 14 21:39:21 GMT 2014,
dublinrecruiter,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:20 GMT 2014,
Doyle15Colin,Yeah.....but we're independent....so we win #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
PortBlue_,Ireland were robbed.. ?? #COYBIG #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
mickmcg81,Fair play Scotland fully deserved #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
McJaemc333,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
NickyLaaaa,RT @FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG,Fri Nov 14 21:39:20 GMT 2014,
rambowski,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:20 GMT 2014,
liamisagooner,RT @SportsJOEdotie: Feck it. Scotland 1 Ireland 0 #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
steff1878,Frantic game that  don't think ROI were good enough in possession! Missed McCarthy maybe.. #SCOIRL,Fri Nov 14 21:39:20 GMT 2014,
GingerJoeFM,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
Haris95Khan,Great performance and what a goal by Maloney #SCOIRL,Fri Nov 14 21:39:19 GMT 2014,
MisterSlush,The Jocks are certainly going to be up for the England game now. could be a cracker...for a friendly ;-) #SCOIRL,Fri Nov 14 21:39:19 GMT 2014,
Lamberto__,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
ghcasey,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
SmSteviemitch,RT @Gedwardsistaken: It doesn't get much better than this - training ground move  quality finish! #SCOIRL http://t.co/oDqCBNBTuR,Fri Nov 14 21:39:19 GMT 2014,
kayleigh_cc,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
PostNubilaSolis,RT @RobbieH46: They have 3 points  but we have independence. #SCOIRL,Fri Nov 14 21:39:19 GMT 2014,
Marknoble123,What a game! #SCOIRL,Fri Nov 14 21:39:19 GMT 2014,
SChanas,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
alankelly2102,Romantic Ireland's dead and gone  it's with Trappatoni in the grave #SCOIRL #yeats,Fri Nov 14 21:39:19 GMT 2014,
gordmatheson,You fucking beauty. Oh my god. We won a must win game at home? These truly are different times. #SCOIRL,Fri Nov 14 21:39:19 GMT 2014,
_kaleygirl_,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
robban_rob,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:19 GMT 2014,
James_Hoody,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:18 GMT 2014,
aaronRensey,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:18 GMT 2014,
JordanTLee96,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:18 GMT 2014,
BRUCE_Y_T,RT @STVSport: FT Scotland 1-0 Republic of Ireland  http://t.co/TgDjsjZ6UY #SCOIRL http://t.co/GUg5HSCKCI,Fri Nov 14 21:39:18 GMT 2014,
craigsullivan2,Yeeeeeah buddddyyy!! Well played both teams. Some spectacle. #SCOIRL,Fri Nov 14 21:39:18 GMT 2014,
StevenBrennan99,Scotland deserved to win by a mile in fairness #SCOIRL,Fri Nov 14 21:39:18 GMT 2014,
Kirkh1985,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:18 GMT 2014,
paddyt007,Think Scotland and Ireland just knocked themselves out  great match though #SCOIRL,Fri Nov 14 21:39:18 GMT 2014,
ConorKeoghzer,RT @FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG,Fri Nov 14 21:39:18 GMT 2014,
Mcfc28Wee,YA FUCKIN DANCER. #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
jasperlock,RT @TeamMatchBook: A lovely move by Scotland for that goal #SCOIRL http://t.co/5TxBmSm2w6,Fri Nov 14 21:39:17 GMT 2014,
Jenaitchie14,WE Did IT!!!!!!!  #SCOIRL # keepbelieving,Fri Nov 14 21:39:17 GMT 2014,
Gashrambler,Brilliant win for Scotland!!! Great effort from all the boys! Tartan army boys! #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
stevetopple,RT @Martin74P: Well Done Scotland! Very Very well done !!!!!! #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
willbarca6,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:17 GMT 2014,
Colbangers,I'm sure Alex Salmond had a hand in tonights win somehow. What a guy. #ThanksAlex #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
mrsparkles30,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:17 GMT 2014,
stanio81,RT @JOEdotie: FT Scotland win 1-0 and deserved it despite a late flurry from Ireland  #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
IanofIreland,"@FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG" Absolute shite!,Fri Nov 14 21:39:17 GMT 2014,
JohnnyVCaffine,RT @FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG,Fri Nov 14 21:39:17 GMT 2014,
BlaaairDuncaaan,RT @FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG,Fri Nov 14 21:39:17 GMT 2014,
EvanMcFarlane,What a game  what an atmosphere  international football the way it should be. #SCOIRL,Fri Nov 14 21:39:17 GMT 2014,
Jools_Thomas,Cracking old game that #SCOIRL,Fri Nov 14 21:39:16 GMT 2014,
